x,y,z
282,1086,-178
228,993,-262
72,952,-413
-105,921,-579
-311,636,-608
-353,529,-442
-399,576,-294
-462,721,-258
-547,868,-368
-524,860,-358
-479,877,-293
-419,971,-78
-378,1010,81
-299,1046,276
-215,1066,465
-215,997,694
-245,970,733
-183,957,735
-4,891,716
296,650,608
177,695,444
-100,854,172
-380,964,-141
-491,789,-501
-326,708,-465
-92,729,-317
147,786,-121
377,827,47
304,896,-91
182,1048,-296
188,1312,-387
355,1236,-220
531,1033,0
611,852,193
368,1003,234
172,1211,65
57,1323,-91
83,1314,-107
467,1205,245
615,1153,398
585,1078,425
398,1007,334
176,997,39
282,1022,-86
372,1030,-199
321,1026,-309
43,943,-511
32,856,-598
76,800,-666
9,858,-684
-68,847,-641
-103,753,-608
-103,662,-613
-147,903,-676
-193,1132,-665
-231,1240,-588
-271,1201,-425
-400,1015,92
-426,934,291
-407,851,364
-406,800,355
-616,842,414
-701,866,494
-647,855,548
-442,798,581
20,686,660
0,770,584
-252,896,337
-597,903,-17
-815,462,-489
-570,330,-500
-219,400,-423
335,857,-234
440,1078,-218
436,1225,-287
373,1266,-392
399,1174,-393
563,1194,-219
732,1269,41
791,1326,320
578,1309,572
446,1282,477
328,1235,325
207,1162,207
116,1091,72
195,1103,-4
270,1076,-61
273,999,-75
171,918,-119
145,952,-213
105,965,-319
-107,847,-445
-201,787,-507
-234,755,-602
-227,735,-695
-293,713,-669
-372,736,-542
-435,780,-398
-462,832,-270
-430,991,-61
-378,1107,41
-301,1194,139
-226,1213,212
-255,1139,205
-349,1132,163
-384,1143,186
-271,1125,312
175,869,570
171,718,455
-69,665,138
-560,760,-531
-509,732,-578
-289,656,-420
-14,629,-199
326,873,-69
297,1036,-198
169,1129,-364
43,1138,-482
86,1098,-462
227,1108,-393
370,1119,-314
468,1123,-208
460,1200,-12
376,1271,-28
305,1314,-81
303,1294,-57
462,1111,283
465,1048,366
359,1069,270
213,1151,68
142,1231,-167
197,1184,-176
221,1125,-213
153,988,-432
127,876,-542
118,764,-619
102,697,-665
-26,707,-702
-114,721,-713
-192,715,-723
-251,702,-709
-304,784,-498
-270,910,-373
-212,1023,-354
-259,909,-568
-407,754,-582
-580,687,-474
-721,744,-306
-835,933,26
-808,912,149
-740,818,239
-655,725,339
-536,741,532
-547,822,375
-596,867,-12
-620,816,-432
-413,497,-669
-239,435,-601
-54,540,-562
156,761,-513
512,1143,-196
508,1213,-88
394,1218,-126
228,1127,-307
239,1083,-289
258,1078,-249
267,1106,-242
350,1163,-183
431,1203,-35
484,1278,152
475,1338,278
324,1087,153
253,856,80
215,788,118
219,966,165
307,1445,-151
307,1398,-335
249,1211,-375
179,1040,-349
188,851,-513
201,724,-639
140,600,-698
-97,574,-728
-183,639,-748
-263,709,-727
-378,776,-639
-601,888,-395
-600,944,-315
-545,1021,-275
-509,1091,-250
-552,1037,-146
-536,980,-128
-484,1003,-176
-435,1093,-189
-313,1085,452
-186,899,886
-96,706,930
-150,633,463
-517,778,-568
-539,765,-463
-385,671,-111
-160,610,127
118,789,-105
152,910,-314
166,967,-401
177,984,-165
183,1073,32
243,1236,181
371,1411,223
498,1571,15
331,1497,-37
66,1325,42
-161,1133,165
-216,1061,106
-113,1167,-7
-22,1231,-46
15,1192,-7
-77,993,43
-170,963,-5
-232,954,-79
-235,892,-164
-218,638,-400
-295,584,-517
-398,601,-572
-481,663,-519
-483,690,-503
-515,741,-510
-574,807,-506
-626,864,-388
-579,833,-317
-510,808,-265
-463,837,-225
-510,983,-64
-539,1017,80
-521,1067,227
-473,1150,335
-412,1081,353
-407,901,232
-416,790,33
-439,798,-163
-427,797,-257
-342,723,-177
-218,712,-83
-104,808,-13
-43,1073,-59
-77,1117,-158
-96,1100,-221
5,999,-109
101,967,-15
175,989,31
188,1088,36
70,1423,147
48,1479,282
83,1316,361
117,976,303
-1,650,-32
-52,865,-106
1,1097,-82
114,1151,-19
53,958,3
-131,948,-69
-273,971,-169
-322,952,-255
-392,857,-338
-482,864,-362
-557,883,-379
-609,797,-347
-617,738,-310
-603,733,-286
-547,784,-277
-396,911,-230
-354,953,-152
-323,1003,3
-268,1052,298
-59,948,1078
-5,812,1005
-67,762,383
-376,981,-839
-405,1013,-631
-281,919,-143
-66,803,148
266,807,-10
284,880,-74
219,943,-103
116,989,-170
-20,1016,-179
-13,981,-24
17,944,115
31,956,123
-2,1167,-112
23,1271,-138
99,1325,-71
231,1317,105
199,1259,180
102,1168,248
3,1077,289
61,995,239
205,1010,151
306,1065,30
199,1195,-112
129,1185,-69
155,1116,-55
246,1026,-168
275,891,-554
174,868,-622
46,872,-619
-95,879,-613
-377,805,-542
-431,748,-432
-394,718,-333
-257,760,-290
-282,814,-278
-382,886,-229
-510,963,-144
-619,981,167
-536,918,366
-397,886,492
-283,928,470
-261,1045,188
-238,1008,182
-148,945,315
-113,917,522
-280,888,455
-456,804,316
-518,709,146
-301,675,-180
-151,690,-235
-23,700,-191
72,749,-115
75,1043,-90
-7,1179,-104
-78,1239,-85
-31,1229,-9
57,1215,-2
119,1175,-7
125,1094,-6
123,1007,34
232,1120,57
390,1281,67
463,1271,76
316,1135,81
158,1090,56
82,1149,-15
138,1061,-171
133,852,-196
71,697,-219
-15,678,-275
-162,860,-430
-213,910,-456
-257,911,-433
-329,886,-343
-369,902,-318
-414,929,-303
-454,953,-286
-472,964,-230
-457,959,-179
-446,959,-86
-459,989,244
-436,1017,434
-345,1024,609
-67,867,812
-57,793,688
-185,833,360
-362,949,-40
-420,870,-340
-294,682,-225
-153,593,-102
58,782,3
110,883,-8
101,941,-88
39,968,-207
-9,948,-278
74,942,-202
193,979,-127
344,1143,-119
344,1216,-163
306,1282,-193
248,1353,-171
213,1405,58
295,1318,189
402,1188,252
340,1088,153
181,1142,68
90,1175,-14
199,997,-246
176,849,-387
34,733,-522
-121,677,-652
-179,724,-841
-151,769,-811
-155,782,-696
-178,769,-576
-168,762,-541
-153,774,-588
-175,787,-627
-241,820,-644
-359,975,-571
-337,1027,-470
-270,1030,-351
-178,989,-89
-207,986,59
-262,1005,176
-296,1117,175
-261,1170,122
-213,1182,115
-133,1131,197
167,831,634
234,684,783
99,660,636
-214,786,158
-671,1073,-780
-516,1002,-749
-147,825,-422
443,751,164
389,947,98
171,1148,-160
-17,1216,-410
115,972,-361
303,889,-197
412,932,-111
421,1050,-98
413,1222,4
462,1284,99
489,1346,163
452,1346,187
253,1095,166
162,1028,98
99,1063,0
72,1095,-82
95,843,-161
68,701,-242
-8,658,-377
-152,718,-609
-183,754,-632
-230,815,-607
-312,899,-557
-460,1028,-385
-451,1034,-261
-401,1001,-156
-364,950,-115
-408,932,-163
-417,984,-122
-377,1051,-6
-303,1106,138
-150,1117,373
-98,1089,493
-93,1063,620
-194,951,669
-207,858,518
-176,786,293
-160,760,62
-260,714,-184
-271,653,-168
-203,620,-131
-97,663,-142
27,859,-266
51,921,-287
80,964,-286
129,1007,-291
288,1071,-270
365,1091,-241
407,1131,-235
399,1263,-241
412,1318,-188
461,1370,-100
516,1397,24
467,1094,368
356,868,414
249,867,246
203,1136,-49
302,1481,-226
341,1230,-72
328,891,-5
220,635,-423
141,679,-694
59,723,-860
3,740,-913
-46,721,-836
-90,690,-778
-134,669,-745
-156,697,-759
-206,911,-846
-256,1002,-791
-293,1039,-631
-308,1043,-413
-324,1084,-21
-322,1135,139
-306,1179,296
-291,1206,449
-285,1202,678
-224,1089,717
-100,874,679
-1,630,290
-171,764,-22
-399,909,-297
-526,895,-435
-247,537,-312
-14,516,-256
132,673,-305
179,884,-407
204,1056,-447
281,1077,-371
407,1159,-295
553,1297,-251
729,1471,-205
741,1478,-97
756,1470,120
796,1395,385
720,809,528
522,570,321
315,653,72
267,1291,-101
348,1336,-57
339,1171,-49
211,983,-123
-15,844,-332
-20,808,-376
-46,769,-395
-150,764,-413
-299,865,-408
-203,910,-375
-73,946,-340
-35,987,-309
-294,1018,-229
-444,969,-175
-534,930,-99
-568,956,19
-536,1115,339
-493,1118,449
-416,1047,529
-129,813,717
-53,750,640
-142,777,318
-349,852,-84
-510,744,-104
-362,571,168
-199,492,245
-121,583,57
-121,949,-304
-79,1031,-240
0,1035,-119
163,1003,-34
221,1032,-62
251,1090,-112
244,1142,-177
168,1100,-228
148,1045,-184
157,1039,-138
204,1114,-119
448,1391,-33
599,1430,69
673,1312,148
610,1121,148
281,1181,-57
216,1364,-167
239,1336,-219
262,1046,-213
106,658,-266
-15,799,-408
-115,940,-568
-234,811,-669
-273,738,-628
-317,764,-593
-374,826,-573
-499,835,-478
-536,817,-387
-498,845,-150
-433,887,-20
-374,941,89
-358,1026,209
-396,1023,251
-435,1002,313
-452,976,399
-391,875,577
-319,805,627
-224,765,628
-132,842,344
-233,918,54
-397,947,-218
-531,823,-395
-401,798,-362
-164,858,-327
103,955,-291
326,1078,-229
218,1115,-252
100,1126,-287
96,1096,-276
370,1038,-75
453,1111,31
471,1275,110
574,1581,245
638,1467,289
605,1157,279
271,826,143
146,1012,81
111,1182,41
122,1138,14
36,769,-89
-62,778,-218
-158,934,-474
-165,887,-503
-203,821,-483
-285,823,-459
-445,957,-398
